RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
10 59 44.662,64 32 34.68,0.014,2.77,2.42,0.151,0,0,121.5,5.25,4.85,121.5,11000+64240M
11 14 25.022,64 32 34.6,0.014,1.47,1.22,0.144,1.21,0,34.4,5.53,4.34,34.4,11150+64240M
11 27 20.244,64 32 34.6,0.576,1.03,0.7,0.143,0,0,113.3,4.86,4.1,113.3,11300+64240M
6 57 23.618,64 32 33.37,0.014,1.21,1.75,0.137,5.8,0,147.5,7.93,5.33,147.5,07000+64243J
10 25 27.77,64 32 32.12,0.785,1.09,1.19,0.151,4.74,0,170.8,7.19,4.42,170.8,10240+64240M
13 21 45.139,64 32 30.81,0.186,1.31,1.95,0.147,5.83,0.96,20.8,7.95,5.48,20.8,13210+64240M
13 21 43.254,64 32 30.72,0.289,1.16,4.31,0.147,10.96,7.04,21.5,12.22,8.88,21.5,13240+64240M
10 7 16.439,64 32 30.69,0.014,1.35,0.99,0.148,1.58,0,7.6,5.62,3.79,7.6,10060+64240M
15 50 29.716,64 32 29.86,0.564,1.04,0.75,0.15,1.97,0,88.6,5.75,3.62,88.6,15480+64240M
10 0 52.701,64 32 29.83,0.014,1.16,1.84,0.145,5.95,1.97,28.5,8.04,5.75,28.5,10000+64240M
11 20 1.297,64 32 29.07,0.014,1.36,2.43,0.143,10.37,0,172.2,11.69,4.43,172.2,11210+64240M
15 34 24.007,64 32 29.02,0.591,1.05,1.22,0.149,5.61,0,178.1,7.78,4.32,178.1,15330+64240M
11 40 1.214,64 32 26.98,0.319,1.02,2.16,0.148,10.5,0,179.1,11.81,5.21,179.1,11420+64240M
7 53 41.945,64 32 20.88,0.014,2.03,1.97,0.152,2.83,0,167,6.1,4.64,167,07540+64243J
13 26 58.74,64 32 20.36,0.596,1.01,1.08,0.138,5.62,0,24.8,7.79,3.97,24.8,13270+64240M
10 25 27.792,64 32 19.48,0.758,1.1,0.91,0.15,3.34,0,151.8,6.35,3.79,151.8,10270+64240M
6 58 58.213,64 32 18.5,0.014,2.17,2.16,0.15,2.24,0,149.4,5.85,4.95,149.4,07000+64243J
7 16 58.465,64 32 17.49,0.014,1.83,2.21,0.153,5.38,0,155.7,7.63,4.61,155.7,07180+64243J
17 10 5.446,64 32 17.32,0.274,1.07,1.19,0.144,7.27,0,180,9.06,3.6,180,17090+64240M
10 21 49.937,64 32 17.05,0.806,1.02,1.44,0.148,6.17,0,15.3,8.2,5.04,15.3,10210+64240M
14 45 6.506,64 32 14.76,0.014,2.99,2.85,0.139,0.99,0,174.1,5.49,5.06,174.1,14450+64240R
14 45 9.693,64 32 14.34,0.025,1.29,2.26,0.139,9.63,0,17.9,11.04,4.64,17.9,14450+64240R
7 6 6.356,64 32 13.95,0.014,1.22,1.12,0.145,0,0,15.7,5.37,4.95,15.7,07060+64243J
10 24 47.864,64 32 10.16,0.014,6.68,6.65,0.148,1.25,0,55.3,5.54,5.24,55.3,10240+64240M
11 24 16.226,64 32 10.01,0.014,1.21,1.3,0.141,3.62,0,35.4,6.5,4.8,35.4,11240+64240M
13 17 16.657,64 32 9.74,0.014,2.29,1.84,0.143,0,0,28.7,5.13,4.57,28.7,13180+64240M
14 49 13.134,64 32 8.44,0.014,2.75,2.53,0.146,0,0,65.9,5.31,5.04,65.9,14480+64240R
11 40 1.664,64 32 7.78,0.014,2.55,2.42,0.145,3.25,0,6.9,6.3,4.37,6.9,11390+64240M
14 40 45.617,64 32 7.41,0.014,3.1,2.86,0.145,0,0,90.9,5.23,5.15,90.9,14420+64240M
13 39 36.819,64 32 5.71,0.014,10.51,10.52,0.14,1.55,0,50.8,5.62,5.2,50.8,13390+64240M
13 35 58.422,64 32 4.65,0.027,1.19,2.75,0.139,8.87,3.59,35.6,10.38,6.48,35.6,13360+64240M
13 25 55.58,64 32 4.51,0.014,15.4,16.72,0.142,1.94,1.14,31.9,5.74,5.52,31.9,13270+64240M
10 24 15.715,64 32 3.13,0.274,1.3,1.25,0.145,2.98,0,170.2,6.17,4.57,170.2,10240+64240M
11 20 42.543,64 32 1.8,0.014,1.2,0.91,0.136,0.9,0,81.9,5.47,4.04,81.9,11210+64240M
11 46 2.166,64 32 0.82,0.014,1.28,1.24,0.14,4.45,0,4.5,7,4.04,4.5,11450+64240M
14 38 15.567,64 31 59.49,0.016,1.81,1.31,0.139,0,0,42.1,4.88,4.32,42.1,14390+64240M
11 40 2.26,64 31 58.8,0.014,7.59,11.45,0.144,5.98,0.75,3.5,8.06,5.45,3.5,11390+64240M
13 37 43.999,64 31 57.52,0.016,1.57,17.45,0.141,24.87,11.57,86.9,25.45,12.77,86.9,13390+64240M
13 37 46.419,64 31 56.34,0.014,34.88,42.71,0.141,3.31,1.62,130.1,6.33,5.64,130.1,13390+64240M
14 41 37.571,64 31 55.65,0.014,1.58,1.65,0.141,3.56,0,8.6,6.47,4.71,8.6,14420+64240M
14 36 10.883,64 31 54.84,0.014,1.14,1.26,0.139,3.97,0,57.7,6.7,4.82,57.7,14360+64240M
10 21 6.3,64 31 50.93,0.22,1.15,0.87,0.141,2.31,0,54.7,5.87,3.75,54.7,10210+64240M
11 46 2.586,64 31 49.75,0.014,1.72,3.17,0.139,7.32,2.46,161.5,9.1,5.93,161.5,11450+64240M
11 20 37.934,64 31 49.63,0.014,31.78,38.9,0.135,3.34,1.56,110.2,6.35,5.62,110.2,11210+64240M
11 31 19.171,64 31 47.86,0.014,2.7,2.91,0.14,2.08,0.35,151.1,5.79,5.41,151.1,11300+64240M
11 20 39.744,64 31 47.37,0.014,20.13,27.69,0.134,4.56,1.76,80.9,7.06,5.68,80.9,11210+64240M
13 37 46.661,64 31 47.17,0.014,4.15,11.72,0.139,11.15,3.89,43.4,12.39,6.65,43.4,13390+64240M
13 10 9.561,64 31 45.89,0.014,2.17,1.91,0.136,2.58,0,45.6,5.98,4.3,45.6,13090+64240M
11 28 11.903,64 31 45.65,0.014,78.86,99.25,0.14,3.84,1.24,36.3,6.63,5.54,36.3,11270+64240M
6 57 19.536,64 31 45.42,0.014,2.06,1.97,0.139,0,0,180,5.31,5.25,180,07000+64243J
11 37 21.936,64 31 45.38,0.417,1.02,0.94,0.145,4.5,0,25.9,7.03,3.83,25.9,11360+64240M
7 29 31.495,64 31 42.57,0.014,3.28,4.06,0.144,3.66,1.2,46.9,6.52,5.53,46.9,07300+64243J
16 56 51.802,64 31 42.13,0.014,4.75,4.12,0.132,0,0,40.5,5.25,4.82,40.5,16570+64240M
14 52 25.086,64 31 39.52,0.865,1.05,0.87,0.142,2.45,0,102,5.93,4.07,102,14510+64240R
6 59 10.901,64 31 39.01,0.014,2.82,2.55,0.148,1.88,0,155.9,5.72,4.62,155.9,07000+64243J
15 49 18.513,64 31 35.27,0.014,2.21,1.83,0.144,0,0,48.7,5.39,4.47,48.7,15480+64240M
15 52 31.574,64 31 34.63,0.254,1.13,0.76,0.144,1.56,0,17.8,5.62,3.5,17.8,15540+64240M
14 52 48.285,64 31 32.15,0.014,1.88,1.57,0.143,1.57,0,25.6,5.62,4.32,25.6,14540+64240R
10 17 19.756,64 31 29.71,0.163,1.16,1.57,0.142,6.87,0,9.7,8.74,4.48,9.7,10180+64240M
16 48 8.564,64 31 28.78,0.016,1.72,2.42,0.137,4.88,1.63,135.5,7.28,5.64,135.5,16480+64240M
11 6 15.104,64 31 28.41,0.014,2.15,1.78,0.135,2.04,0,26.7,5.77,4.19,26.7,11060+64240M
17 9 20.825,64 31 27.87,0.014,1.72,1.81,0.134,2.06,0,163.2,5.78,5.31,163.2,17090+64240M
7 47 17.407,64 31 24.65,0.027,1.19,1.56,0.148,7.05,0,12.7,8.88,4.29,12.7,07480+64243J
14 44 22.653,64 31 22.09,0.014,1.93,2.83,0.136,5.14,1.9,36.7,7.45,5.73,36.7,14450+64240R
14 35 1.149,64 31 21.84,0.014,5.24,5.22,0.138,2.21,0,38.1,5.84,4.97,38.1,14360+64240M
13 36 1.242,64 31 21.72,0.014,5.76,12.76,0.135,8.88,3.09,40.1,10.39,6.22,40.1,13360+64240M
10 14 10.178,64 31 20.93,0.492,1.01,0.97,0.14,1.84,0,100.2,5.71,4.94,100.2,10120+64240M
6 59 10.516,64 31 20.29,0.014,2.39,3.95,0.147,5.75,2.86,10.7,7.89,6.11,10.7,07000+64243J
14 54 21.515,64 31 18.18,0.014,4.32,4.53,0.138,2.6,0,44.8,6,5.1,44.8,14540+64240R
16 55 12.595,64 31 18.11,0.014,4.82,4.79,0.136,1.83,0,59.2,5.7,5.08,59.2,16540+64240M
11 3 28.884,64 31 17.15,0.014,2.52,2.52,0.133,2.8,0,136.8,6.08,4.79,136.8,11030+64240M
13 22 0.702,64 31 16.63,0.014,44.6,47.05,0.138,1.68,0.65,25.5,5.66,5.44,25.5,13210+64240M
10 11 28.515,64 31 16.11,0.014,2.56,2.59,0.142,2.68,0,25,6.03,4.91,25,10120+64240M
16 55 13.419,64 31 16.07,0.014,3.47,3.5,0.136,3.11,0,44.6,6.23,4.72,44.6,16540+64240M
7 53 41.374,64 31 16.04,0.185,1.1,1.04,0.146,4.77,0,9.3,7.2,3.78,9.3,07540+64243J
16 59 14.442,64 31 15.79,0.016,1.8,1.15,0.136,0,0,1.1,4.61,4.04,1.1,17000+64240M
11 10 59.762,64 31 14.96,0.014,6.23,9.67,0.137,4.44,3.57,91.8,6.99,6.47,91.8,11120+64240M
7 19 10.68,64 31 14.59,0.014,1.72,1.56,0.151,2.14,0,177.7,5.81,4.57,177.7,07180+64243J
14 45 10.595,64 31 11.98,0.014,3.5,3.39,0.132,1.78,0,65.5,5.68,4.97,65.5,14450+64240R
7 36 1.561,64 31 10.48,0.021,1.53,1.67,0.146,3.73,0,2.6,6.56,4.85,2.6,07360+64243J
10 27 52.908,64 31 9.52,0.275,1.23,2.57,0.158,7.97,3.4,167.4,9.63,6.38,167.4,10270+64240M
9 11 45.135,64 31 4.36,0.014,1.41,1.88,0.156,4.28,1.69,10.4,6.89,5.66,10.4,09120+64243J
8 11 40.359,64 31 3.01,0.436,1.11,1.12,0.158,2.53,0,36.3,5.96,4.94,36.3,08120+64243J
11 10 59.667,64 31 1.78,0.014,11.7,16.47,0.136,4.64,2.02,8.9,7.12,5.76,8.9,11120+64240M
10 12 51.497,64 31 1.24,0.088,1.56,0.99,0.142,0,0,180,4.5,4.1,180,10120+64240M
13 2 34.238,64 31 0.92,0.014,2.49,3.11,0.131,3.67,1.33,32.4,6.53,5.56,32.4,13030+64240M
11 45 19.277,64 30 59.07,0.014,5.02,6.85,0.13,5.02,0,169.3,7.37,5.4,169.3,11450+64240M
10 12 56.176,64 30 59.05,0.557,1.07,1.37,0.142,6.03,0,178.4,8.09,4.57,178.4,10120+64240M
13 0 8.886,64 30 57.33,0.014,1.4,2.4,0.133,8.02,0,47.5,9.67,5.17,47.5,13000+64240M
