RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
12 51 24.973,63 14 31,0.064,1.07,1.21,0.136,3.98,0,159,6.71,4.92,159,12540+63011J
17 41 7.302,63 14 30.73,0.014,1.34,0.81,0.153,0,0,14.7,4.81,3.65,14.7,17420+63011J
14 50 36.598,63 14 30.02,0.561,1.89,2.67,0.294,4.95,1.57,105.6,7.33,5.62,105.6,14480+63011R
7 56 34.764,63 14 29.3,0.091,1.2,0.67,0.128,0,0,177.8,4.21,3.85,177.8,07540+63011M
14 42 34.411,63 14 28.47,0.014,4.11,4.18,0.21,2.44,0,9.9,5.93,5.01,9.9,14420+63011N
7 57 29.21,63 14 28.27,0.04,1.04,2.46,0.13,8.49,4.17,145.6,10.06,6.82,145.6,08000+63011R
17 41 53.988,63 14 28.17,0.042,1.27,0.97,0.154,1.88,0,45.4,5.72,3.86,45.4,17420+63011J
15 51 32.977,63 14 27.78,0.014,1.29,1.92,0.136,4.93,2.54,155.3,7.31,5.97,155.3,15540+63285J
12 43 47.411,63 14 27.63,0.014,3.82,4.13,0.141,2.44,0,172,5.93,5.32,172,12420+63011J
7 54 51.937,63 14 26.87,0.294,1.15,0.78,0.153,0,0,90.2,4.56,4.36,90.2,07540+63011M
17 38 51.064,63 14 26.72,0.014,1.57,1.26,0.135,0,0,15.2,4.95,4.7,15.2,17360+63011J
10 15 24.183,63 14 26.6,0.014,2.42,1.91,0.134,0,0,23.8,5.14,4.46,23.8,10180+63011J
11 9 44.193,63 14 26.43,0.014,1.23,1,0.135,2.31,0,27,5.87,4.03,27,11120+63011J
12 26 12.314,63 14 25.2,0.014,1.72,1.21,0.139,0,0,30.6,5.01,4.09,30.6,12240+63011J
8 5 28.119,63 14 24.38,0.105,1.33,1.61,0.158,2.56,2.41,90.6,5.98,5.92,90.6,08060+63011R
13 33 48.922,63 14 24.31,0.014,2.22,2.59,0.138,5.34,0,171.6,7.6,4.49,171.6,13360+63011J
14 52 3.475,63 14 23.28,0.199,4.04,13.75,0.265,10.84,6.16,118.7,12.11,8.19,118.7,14540+63011R
14 52 28.978,63 14 22.71,0.544,1.7,1.5,0.256,1.59,0,115.2,5.63,4.6,115.2,14540+63011R
16 9 5.793,63 14 22.39,0.067,1.11,1.29,0.143,2.74,1.44,3.9,6.06,5.59,3.9,16120+63011J
15 50 33.981,63 14 21.56,0.016,1.31,1.08,0.139,1.68,0,152.4,5.66,4.22,152.4,15480+63285J
15 34 14.092,63 14 20.3,0.014,1.19,1.41,0.142,6.38,0,37.5,8.36,4.13,37.5,15360+63011J
15 24 57.588,63 14 20.08,0.014,5.87,5.89,0.153,1.46,0,23.4,5.59,5.23,23.4,15240+63011J
11 51 2.194,63 14 20.01,0.014,20.64,30.26,0.138,3.87,3.5,56.9,6.64,6.43,56.9,11540+63011J
15 31 44.082,63 14 17.82,0.016,1.1,1.73,0.143,5.63,2.31,135.5,7.8,5.87,135.5,15300+63011J
7 39 35.055,63 14 17.72,0.014,1.41,1.01,0.137,0,0,141.2,5.28,3.98,141.2,07420+63011J
9 12 38.453,63 14 17.72,0.726,1.1,1.22,0.158,3.52,0,166.4,6.44,5.01,166.4,09120+63011M
9 16 27.029,63 14 17.55,0.014,22.19,23.17,0.147,1.4,0.8,102.6,5.58,5.46,102.6,09180+63011J
14 48 59.702,63 14 17.23,0.265,2.94,3.19,0.421,2.77,0,42.6,6.07,5.21,42.6,14480+63011R
14 22 12.215,63 14 16.12,0.014,9.25,23.94,0.141,7.45,6.17,12.1,9.2,8.2,12.1,14240+63011J
9 25 50.726,63 14 15.88,0.014,5.04,7.97,0.174,6.47,0.84,24.5,8.43,5.47,24.5,09240+63011J
16 29 13.784,63 14 15.85,0.014,22.89,31.77,0.155,4.16,2.46,124.6,6.82,5.93,124.6,16300+63011J
8 2 56.538,63 14 13.69,0.014,1.79,4.29,0.134,7.7,5.07,124.2,9.4,7.4,124.2,08000+63011R
11 51 8.037,63 14 12.83,0.452,1,1.37,0.137,4.63,1.62,159.7,7.11,5.64,159.7,11480+63285J
13 53 28.591,63 14 12.83,0.014,4.91,4.77,0.16,1.42,0,33.2,5.58,5.07,33.2,13540+63011N
7 57 28.731,63 14 11.97,0.014,1.28,2.75,0.13,9.75,1.51,14.5,11.15,5.61,14.5,08000+63011R
9 16 28.154,63 14 11.2,0.014,10.59,11.19,0.148,1.31,1.25,179.5,5.56,5.54,179.5,09180+63011J
14 39 49.125,63 14 11.03,0.014,106.24,239.51,0.17,9.9,2.19,78.1,11.28,5.83,78.1,14420+63011N
10 31 38.623,63 14 8.16,0.525,1.05,1.56,0.145,4.93,2.5,63.5,7.31,5.95,63.5,10300+63011J
9 25 49.634,63 14 7.96,0.014,2.75,3.62,0.175,4.25,1.42,47.7,6.87,5.58,47.7,09240+63011J
15 7 21.318,63 14 7.64,0.014,1.33,1.28,0.146,2.89,0,28.9,6.13,4.58,28.9,15060+63011J
11 46 22.49,63 14 7.59,0.014,3.8,3.15,0.143,0,0,47.3,5.27,4.58,47.3,11480+63011M
10 54 9.58,63 14 7.27,0.014,1.61,1.08,0.153,0,0,86.3,4.43,4.4,86.3,10540+63011J
15 8 51.338,63 14 7.07,0.115,1.21,0.78,0.135,0,0,33.6,5.37,3.51,33.6,15060+63011J
15 2 13.562,63 14 5.99,0.014,2.94,3.33,0.134,3.18,0,117,6.27,5.29,117,15000+63011J
7 47 44.678,63 14 4.62,0.014,10.48,10.7,0.156,1.56,0,18,5.62,5.29,18,07480+63011M
12 53 57.59,63 14 2.57,0.743,1.11,0.97,0.166,3.31,0,12.1,6.34,4.05,12.1,12540+63011J
16 59 10.279,63 14 2.23,0.014,5.04,4.72,0.154,1.48,0,29.8,5.6,4.88,29.8,17000+63011J
15 53 33.2,63 14 1.98,0.014,4.21,4.16,0.154,2.45,0,39.2,5.93,4.87,39.2,15540+63011J
12 20 17.522,63 14 1.91,0.014,2.76,2.38,0.136,1.17,0,43.5,5.53,4.54,43.5,12180+63011J
11 40 4.441,63 14 1.64,0.014,7.56,7.75,0.141,1.48,0,15.1,5.6,5.34,15.1,11420+63011J
16 20 51.92,63 14 1.37,0.014,1.61,1.3,0.135,0,0,180,4.88,4.86,180,16180+63011J
7 2 21.116,63 14 1.17,0.014,1.07,1.07,0.138,2.83,0,2.9,6.1,4.79,2.9,07000+63011J
9 59 9.219,63 14 1.15,0.014,3.27,3.39,0.153,2.25,0,48,5.85,5.17,48,10000+63011J
8 28 55.129,63 14 0.41,0.524,1.27,1.83,0.201,7.68,0,153.9,9.39,4.48,153.9,08300+63285R
15 42 48.602,63 13 59.97,0.014,4.6,7.88,0.153,7.83,0,169.2,9.51,5.25,169.2,15420+63011J
12 19 56.136,63 13 59.94,0.014,1.57,3.19,0.14,8.27,2.55,96.3,9.87,5.97,96.3,12180+63011J
13 29 32.19,63 13 59.18,0.014,1.57,1.52,0.155,4.32,0,1.1,6.92,4.11,1.1,13300+63011N
16 15 9.085,63 13 58.62,0.014,1.41,1.02,0.136,0,0,177.2,4.93,4.26,177.2,16180+63011J
14 1 46.286,63 13 58.44,0.014,20.59,25.54,0.145,3.59,1.39,39.8,6.49,5.57,39.8,14000+63011N
16 19 5.556,63 13 58.12,0.042,1.15,1.3,0.149,5.97,0,26.6,8.05,4.09,26.6,16180+63011J
9 43 8.192,63 13 57.21,0.014,1.9,1.8,0.161,3.26,0,40.3,6.31,4.35,40.3,09420+63011J
10 16 18.649,63 13 57.19,0.014,4.96,6.11,0.142,3.91,0,103.8,6.67,5.39,103.8,10180+63011J
7 57 28.531,63 13 55.32,0.016,1.2,3.73,0.13,8.02,7.61,0.8,9.66,9.33,0.8,08000+63011R
13 55 36.04,63 13 54.56,0.065,1.26,0.8,0.146,0,0,3,4.96,3.7,3,13540+63011N
8 37 2.85,63 13 54.46,0.339,1.24,1.43,0.155,4.29,0,79.1,6.89,4.89,79.1,08360+63011J
9 18 3.269,63 13 53.7,0.045,1.27,2.09,0.157,5.82,2.77,15.9,7.94,6.07,15.9,09180+63011J
9 20 2.691,63 13 53.65,0.014,2.79,6.94,0.139,8.01,5.23,149.5,9.66,7.52,149.5,09180+63011J
7 28 37.291,63 13 52.74,0.298,1.32,0.85,0.148,0.75,0,150,5.45,3.46,150,07300+63011J
13 36 25.112,63 13 52.54,0.014,4,3.21,0.155,0,0,17.1,5.14,4.55,17.1,13360+63011J
13 49 16.646,63 13 51.17,0.014,9.08,9.46,0.15,1.34,0.78,23,5.56,5.46,23,13480+63011J
11 40 4.572,63 13 48.78,0.014,1.48,1.58,0.141,3.68,0,33.2,6.53,4.74,33.2,11420+63011J
10 17 33.093,63 13 45.07,0.014,8.5,15.95,0.154,8.44,0.81,35,10.02,5.46,35,10180+63011J
8 28 56.411,63 13 44.97,0.014,2.95,2.78,0.2,1.89,0,160.9,5.72,4.81,160.9,08300+63285R
9 59 7.173,63 13 44.87,0.014,2.89,2.91,0.153,3.19,0,50.7,6.27,4.7,50.7,10000+63011J
9 0 49.758,63 13 43.54,0.109,1.14,1.55,0.158,4.45,1.64,59.7,6.99,5.64,59.7,09000+63011N
10 31 10.69,63 13 40.96,0.014,5.68,5.56,0.151,1.37,0,55.2,5.57,5.13,55.2,10300+63011J
7 48 3.185,63 13 39.14,0.014,1.63,1.22,0.156,0.96,0,33.1,5.48,3.96,33.1,07480+63011M
16 20 0.166,63 13 38.16,0.014,11.71,12.96,0.138,2.31,1.01,103.3,5.87,5.49,103.3,16180+63011J
11 54 20.35,63 13 38.11,0.014,2.93,2.63,0.153,0,0,91.3,5.19,5.06,91.3,11540+63011J
14 46 23.915,63 13 37.47,0.275,3.33,5.35,0.302,7.47,0,5.5,9.22,5.09,5.5,14480+63011R
14 18 43.28,63 13 37.25,0.122,1.25,3.99,0.155,12.08,4.55,86.5,13.23,7.06,86.5,14180+63011R
13 24 56.511,63 13 33.73,0.014,2.89,5.9,0.15,7.32,3.71,23.6,9.1,6.55,23.6,13240+63011N
8 28 57.483,63 13 32.82,0.412,1.3,10,0.199,41.89,0,148.4,42.23,5.32,148.4,08300+63285R
8 36 24.171,63 13 32.38,0.185,1.3,0.82,0.157,0,0,179.9,4.87,3.78,179.9,08360+63011J
16 9 51.714,63 13 30.85,0.014,6.72,8.08,0.142,3.3,1.23,170.1,6.33,5.54,170.1,16120+63011J
8 29 4.191,63 13 30.54,0.469,1.28,19.7,0.201,26.36,15.84,162.3,26.91,16.73,162.3,08300+63011R
8 29 3.466,63 13 27.61,0.032,1.77,27.85,0.201,25.48,16.82,59.9,26.04,17.67,59.9,08300+63285R
7 28 39.422,63 13 27.31,0.132,1.35,0.87,0.149,0,0,149,5.21,3.61,149,07300+63011J
14 18 45.234,63 13 27.24,0.014,10.32,29.92,0.154,9.13,5.87,14.3,10.6,7.97,14.3,14180+63011R
11 7 35.922,63 13 26.97,0.014,1.98,1.99,0.144,2.07,0,167.9,5.78,5.07,167.9,11060+63011J
17 39 14.602,63 13 24.66,0.126,1.11,1.25,0.135,2.4,1.33,0.9,5.91,5.56,0.9,17420+63011J
11 38 9.808,63 13 24.34,0.014,1.73,1.37,0.14,2.25,0,5.4,5.85,3.94,5.4,11360+63011R
8 24 24.414,63 13 23.26,0.014,2.53,2.03,0.15,0,0,26.8,4.98,4.72,26.8,08240+63011R
11 5 27.602,63 13 23.11,0.014,6,9.82,0.157,5.96,2.47,154.9,8.04,5.94,154.9,11060+63011J
14 49 46.745,63 13 21.59,0.324,2.61,2.23,0.342,2.69,0,123.5,6.03,4.14,123.5,14480+63011R
12 23 5.305,63 13 21.04,0.014,14.32,16.5,0.154,2.54,1.59,164.4,5.97,5.63,164.4,12240+63011J
7 40 17.967,63 13 20.99,0.014,2.32,1.68,0.145,0,0,1.6,4.87,4.35,1.6,07420+63011J
11 38 20.807,63 13 20.95,0.014,35.87,42.49,0.139,3.07,1.32,6.4,6.21,5.56,6.4,11360+63011R
8 28 58.683,63 13 20.7,0.398,1.27,3,0.198,8.78,4.01,161.4,10.31,6.73,161.4,08300+63011R
14 39 43.237,63 13 20.28,0.877,1.16,1.52,0.169,6.25,0,61.3,8.26,4.58,61.3,14420+63011N
8 29 1.82,63 13 20.21,0.043,1.81,16.23,0.199,25.59,8.4,53.2,26.15,9.98,53.2,08300+63011R
9 14 40.94,63 13 20.11,0.014,1.26,1.22,0.138,2.41,0,173.2,5.91,4.8,173.2,09120+63011M
13 33 46.587,63 13 19.79,0.014,4.02,3.9,0.139,1.79,0,32.8,5.69,4.97,32.8,13360+63011J
15 1 25.88,63 13 18.46,0.014,1.58,2.54,0.145,6.33,1.59,84.5,8.32,5.63,84.5,15000+63011J
11 5 48.41,63 13 18.34,0.534,1.14,1.32,0.155,3.99,0,108.1,6.71,5.04,108.1,11060+63011J
11 3 43.47,63 13 18,0.517,1.06,1.05,0.139,2.82,0,33.4,6.09,4.72,33.4,11060+63011J
8 3 38.768,63 13 17.65,0.014,10.63,10.4,0.133,0.54,0,121.2,5.43,5.26,121.2,08060+63011R
13 12 7.203,63 13 17.04,0.014,2.86,3.67,0.156,4.95,0,7.4,7.32,5.11,7.4,13120+63011J
15 57 21.386,63 13 15.73,0.014,1.23,0.84,0.132,0,0,46.1,5.08,3.96,46.1,16000+63011J
9 8 34.641,63 13 15.51,0.527,1.13,0.54,0.15,0,0,3.5,3.99,3.52,3.5,09120+63285M
7 9 21.684,63 13 14.72,0.089,1,1.4,0.136,8.36,0,125.1,9.95,4.12,125.1,07060+63011J
7 9 22.932,63 13 14.65,0.014,1.7,3.47,0.136,9.08,1.63,77.2,10.56,5.64,77.2,07060+63285J
15 8 54.096,63 13 14.18,0.014,146.69,147.09,0.135,0.53,0,38.4,5.43,5.39,38.4,15060+63011J
15 13 29.915,63 13 14.01,0.014,1.21,2.61,0.143,6.42,5.24,65.3,8.39,7.52,65.3,15120+63011J
7 14 11.862,63 13 13.89,0.014,2.42,6.14,0.138,11.11,2.58,86.5,12.36,5.98,86.5,07120+63011J
9 50 31.978,63 13 13.89,0.014,3.29,3.15,0.136,1.16,0,65.1,5.52,5.07,65.1,09480+63011J
12 7 5.121,63 13 13.69,0.014,1.4,1.68,0.151,4.3,0,149.4,6.9,5.06,149.4,12060+63011J
12 14 17.501,63 13 12.91,0.014,1.49,1.27,0.136,2.04,0,69.8,5.77,4.32,69.8,12120+63011J
13 47 1.359,63 13 11.72,0.014,7.87,8.07,0.152,1.7,0,176.9,5.66,5.28,176.9,13480+63011J
11 5 28.169,63 13 11.31,0.014,8.26,14.23,0.157,6.4,2.6,154,8.38,5.99,154,11060+63011J
10 42 30.403,63 13 11.16,0.205,1.18,0.62,0.157,0,0,1.7,4.11,3.75,1.7,10420+63011J
16 30 2.335,63 13 10.64,0.014,4.11,10.37,0.155,12.65,0,28.5,13.75,5.35,28.5,16300+63011J
15 45 44.061,63 13 10.52,0.068,1.28,1.12,0.142,2.57,0,4.8,5.98,4.26,4.8,15480+63285J
15 20 55.311,63 13 10.03,0.014,1.51,1.17,0.135,0,0,24.5,5.26,4.3,24.5,15180+63011J
15 0 9.062,63 13 8.8,0.014,10.23,11.02,0.153,1.73,1.24,68.8,5.67,5.54,68.8,15000+63011J
13 33 13.861,63 13 8.45,0.452,1.12,0.91,0.138,3.61,0,62.9,6.5,3.66,62.9,13360+63011J
7 14 6.069,63 13 8.41,0.217,1.09,2.79,0.139,9.55,4.14,85.8,10.97,6.81,85.8,07120+63011J
8 29 1.361,63 13 7.74,0.014,4.13,19.85,0.198,14.57,7.23,129.2,15.53,9.03,129.2,08300+63011R
8 46 42.809,63 13 7.5,0.094,1.75,1.35,0.162,0,0,100.5,5.03,4.5,100.5,08480+63011N
15 45 14.99,63 13 7.2,0.023,1.63,2.55,0.137,4.26,3.91,8.6,6.87,6.67,8.6,15480+63011J
12 47 12.762,63 13 7.13,0.092,1.27,1.51,0.155,4.14,0,42.1,6.81,5.08,42.1,12480+63011J
13 27 41.681,63 13 6.73,0.014,6.16,13.39,0.137,9.75,1.78,140.3,11.15,5.68,140.3,13300+63011N
10 33 25.629,63 13 6.09,0.132,1.15,0.95,0.137,2.5,0,130.5,5.95,4.05,130.5,10360+63011J
13 12 6.299,63 13 5.8,0.014,1.71,2.38,0.156,7.96,0,30,9.62,4.22,30,13120+63011J
16 58 25.211,63 13 5.01,0.014,3.25,3.54,0.145,1.79,1.4,0.1,5.69,5.58,0.1,17000+63011J
10 5 9.404,63 13 4.64,0.274,1.06,1.15,0.152,5.59,0,14.5,7.77,4.07,14.5,10060+63011J
8 29 1.925,63 13 4.15,0.014,3.34,5.98,0.198,5.42,4.18,105,7.65,6.83,105,08300+63285R
7 28 41.393,63 13 3.78,0.014,24.29,27.67,0.149,2.64,1.18,148.3,6.01,5.53,148.3,07300+63011J
14 35 24.273,63 13 3.17,0.124,1.49,1.07,0.218,0,0,16.2,5.07,4.11,16.2,14360+63011N
14 10 2.168,63 13 1.67,0.535,1.02,2.09,0.144,6.02,5.13,0.1,8.08,7.45,0.1,14120+63011R
8 39 24.498,63 13 1.57,0.246,1.09,1.21,0.139,2.12,1.33,179.4,5.8,5.56,179.4,08420+63011J
14 28 12.017,63 13 1.37,0.102,1.4,1.58,0.153,2.56,1.03,90.7,5.97,5.5,90.7,14300+63011N
8 37 33.747,63 13 1.15,0.272,1.17,0.81,0.149,0,0,52.3,4.92,4.15,52.3,08360+63011J
14 49 9.223,63 13 0.88,0.265,3.17,4.43,0.403,4.3,2.35,68.7,6.9,5.89,68.7,14480+63011R
11 4 22.18,63 13 0.59,0.014,1.37,0.98,0.147,0,0,88.1,4.74,4.36,88.1,11060+63011J
8 37 2.519,63 12 59.73,0.014,2.25,1.68,0.155,0,0,172.7,4.99,4.34,172.7,08360+63011J
8 12 24.989,63 12 59.58,0.014,18.2,23.07,0.163,3.7,1.66,77.2,6.54,5.65,77.2,08120+63011R
14 55 17.62,63 12 59.14,0.02,1.14,0.78,0.147,0,0,35.4,5.03,3.99,35.4,14540+63011R
10 48 24.582,63 12 59.04,0.014,17.23,23.3,0.151,4.63,1.24,70.1,7.11,5.54,70.1,10480+63011J
17 4 19.65,63 12 59.04,0.014,3.53,3.45,0.143,1.39,0,26.3,5.58,5.12,26.3,17060+63011J
15 1 15.287,63 12 58.79,0.014,1.84,1.83,0.147,3.08,0,11.7,6.22,4.67,11.7,15000+63011J
8 32 13.851,63 12 57.27,0.014,2.55,2.34,0.145,1.99,0,2.9,5.76,4.63,2.9,08300+63011R
17 20 43.905,63 12 57.22,0.014,17.72,18.45,0.138,1.43,0.61,9.1,5.59,5.43,9.1,17180+63011J
17 24 0.984,63 12 57.02,0.014,2.66,5.02,0.151,5.67,4.49,143.5,7.83,7.02,143.5,17240+63011J
15 29 14.274,63 12 56.95,0.014,4.85,4.94,0.153,1.98,0,42.9,5.75,5.18,42.9,15300+63011J
16 25 45.772,63 12 55.23,0.014,1.82,2.13,0.143,3.15,0.94,6.9,6.25,5.48,6.9,16240+63011J
12 47 36.309,63 12 54.98,0.434,1.05,1.42,0.155,5.12,0,20.2,7.44,5.29,20.2,12480+63285J
11 7 22.306,63 12 53.7,0.014,1.81,1.62,0.148,0,0,0.3,5.24,5,0.3,11060+63011J
13 33 20.281,63 12 53.33,0.098,1.19,1,0.139,1.96,0,30.1,5.74,4.27,30.1,13360+63011J
15 20 56.895,63 12 53.26,0.014,1.6,1.91,0.136,3.61,0,88.9,6.49,5.36,88.9,15180+63011J
7 44 11.147,63 12 53.14,0.02,1.08,0.85,0.139,0,0,180,5.3,4.33,180,07420+63011J
16 30 2.723,63 12 52.47,0.274,1.07,1.4,0.155,5.42,0,37.1,7.65,4.99,37.1,16300+63011J
13 28 55.893,63 12 51.78,0.014,15.69,18.1,0.152,3.15,0,29.6,6.25,5.38,29.6,13300+63011N
14 49 21.717,63 12 50.7,0.324,2.68,2.49,0.383,4.98,0,48,7.35,3.7,48,14480+63011R
15 57 56.682,63 12 50.65,0.014,3.03,3.37,0.136,3.17,0,56.6,6.26,5.19,56.6,16000+63011J
16 49 8.52,63 12 50.26,0.014,114.43,117.45,0.149,1,0.73,26.9,5.49,5.45,26.9,16480+63011N
9 41 17.923,63 12 50.11,0.014,5.69,5.5,0.168,1.72,0,34.4,5.67,4.98,34.4,09420+63011J
16 19 8.31,63 12 48.46,0.014,6.97,7.7,0.149,1.75,1.74,89.9,5.68,5.67,89.9,16180+63011J
11 35 48.931,63 12 47.75,0.204,1.87,4.36,0.194,9.96,2.63,49.9,11.33,6.01,49.9,11360+63011R
11 32 10.784,63 12 47.16,0.111,2.51,2.94,0.291,2.75,1.66,114.4,6.06,5.65,114.4,11300+63011R
13 37 28.974,63 12 45.27,0.014,1.98,1.56,0.148,1.51,0,40.4,5.61,4.09,40.4,13360+63011J
13 28 54.893,63 12 44.36,0.014,18.63,21.64,0.152,3.26,0,37.1,6.31,5.37,37.1,13300+63011N
14 7 49.044,63 12 43.23,0.452,1.27,0.98,0.147,3.6,0,18.9,6.49,3.48,18.9,14060+63011R
13 37 30.164,63 12 42.69,0.014,2.6,2.49,0.148,2.26,0,82.2,5.85,4.77,82.2,13360+63011J
7 8 43.491,63 12 41.23,0.014,5.45,6.26,0.138,2.58,1.47,169.5,5.99,5.6,169.5,07060+63011J
8 5 18.214,63 12 40.94,0.014,3.37,3.08,0.154,0,0,47.6,5.28,5.03,47.6,08060+63011R
14 56 53.385,63 12 40.57,0.014,2.32,2.22,0.136,2.02,0,153.3,5.77,4.82,153.3,14540+63011R
14 42 51.632,63 12 40.18,0.014,8.92,22.34,0.193,9.39,4.03,50.1,10.83,6.74,50.1,14420+63011N
10 18 14.032,63 12 38.43,0.014,3.22,3.53,0.153,3.6,0,57.3,6.49,4.93,57.3,10180+63011J
9 41 12.349,63 12 37.25,0.014,65.51,69.42,0.167,1.48,1.14,75,5.6,5.52,75,09420+63011J
7 55 21.68,63 12 35.58,0.014,24.3,24.83,0.146,1.3,0,16.6,5.55,5.36,16.6,07540+63011M
12 56 37.932,63 12 35.38,0.027,1.21,0.76,0.138,0,0,14.6,5.19,3.55,14.6,12540+63011J
10 42 53.91,63 12 33.05,0.014,2.35,4.29,0.153,5.35,4.46,179.8,7.6,7,179.8,10420+63011J
9 41 13.271,63 12 32.9,0.014,28.07,32.41,0.167,2.4,1.81,155.8,5.91,5.7,155.8,09420+63011J
17 4 13.183,63 12 32.56,0.014,2.77,2.4,0.142,0,0,33.8,5.32,4.72,33.8,17060+63011J
14 5 57.966,63 12 31.74,0.014,2.23,1.82,0.156,0,0,179.1,4.91,4.86,179.1,14060+63011R
10 32 50.828,63 12 31.25,0.014,1.25,1.16,0.139,2.91,0,159.7,6.13,4.44,159.7,10300+63011J
10 59 12.415,63 12 29.56,0.138,1.18,2.5,0.152,7.49,3.87,153.1,9.24,6.64,153.1,11000+63011J
16 3 33.413,63 12 29.36,0.014,6.73,14.64,0.136,8.14,3.62,115.9,9.76,6.5,115.9,16060+63011J
14 56 25.426,63 12 28.77,0.014,1.18,1.37,0.135,3.13,0.75,9.5,6.24,5.45,9.5,14540+63011R
9 6 25.908,63 12 28.42,0.047,1.94,2.18,0.157,7.69,0,28.9,9.39,3.49,28.9,09060+63011M
16 28 44.546,63 12 27.76,0.014,8.73,12.87,0.15,6.12,0,68.2,8.16,5.27,68.2,16300+63011J
7 43 29.411,63 12 27.22,0.014,4.87,4.78,0.148,1.77,0,174.3,5.68,5.03,174.3,07420+63011J
12 30 28.052,63 12 25.55,0.014,4.53,4.04,0.157,0,0,165.3,5.36,4.85,165.3,12300+63011J
14 12 13.799,63 12 24.98,0.014,1.22,0.91,0.152,0,0,40.8,5.16,4.16,40.8,14120+63011R
9 14 49.36,63 12 24.61,0.014,1.55,0.98,0.139,0,0,130.9,4.93,3.73,130.9,09120+63011M
8 49 35.221,63 12 24.05,0.014,5.62,13.06,0.157,7,5.45,162.3,8.84,7.67,162.3,08480+63011N
13 8 15.535,63 12 22.23,0.014,2.08,2.02,0.139,2.11,0,165.7,5.8,4.88,165.7,13060+63011J
16 28 40.387,63 12 21.86,0.014,2.25,7.27,0.15,8.81,7.34,81.6,10.33,9.11,81.6,16300+63011J
7 18 27.351,63 12 21.74,0.695,1.1,1.2,0.154,4.86,0,76.9,7.27,4.39,76.9,07180+63011J
15 8 57.086,63 12 21.66,0.115,1.24,0.75,0.136,0,0,137.2,4.94,3.57,137.2,15060+63011J
16 28 42.71,63 12 21.44,0.014,1.93,5.8,0.15,13.11,2.99,66.2,14.18,6.17,66.2,16300+63011J
17 32 40.729,63 12 21.42,0.014,1.96,2.03,0.133,3.83,0,144.2,6.62,4.54,144.2,17300+63011J
10 55 29.149,63 12 21.32,0.014,5.14,4.9,0.146,1.36,0,39.7,5.57,4.99,39.7,10540+63011J
10 14 24.177,63 12 20.61,0.014,1.18,0.75,0.135,0,0,0.6,4.78,3.86,0.6,10120+63011J
12 31 26.77,63 12 20.14,0.014,2.44,1.84,0.147,0,0,24.3,5.15,4.27,24.3,12300+63011J
16 19 29.424,63 12 19.87,0.014,6.23,6.68,0.145,2.36,0,36.8,5.89,5.31,36.8,16180+63011J
11 43 49.853,63 12 19.67,0.014,7.31,7.5,0.142,0.89,0.82,0.2,5.47,5.46,0.2,11420+63011J
9 50 29.037,63 12 19.52,0.047,1.07,1.32,0.137,4.72,0,136.6,7.17,5,136.6,09480+63011J
12 2 5.434,63 12 18.76,0.427,1.04,2.21,0.153,9.31,2.08,6.8,10.76,5.79,6.8,12000+63011J
11 20 6.696,63 12 17.7,0.014,1.15,0.92,0.14,1.89,0,36.1,5.72,4.03,36.1,11180+63011J
9 45 19.007,63 12 17.68,0.014,7.31,13.36,0.138,7.36,2.21,134.4,9.13,5.83,134.4,09480+63011J
12 26 46.315,63 12 17.58,0.07,1.11,0.99,0.14,4.64,0,53.3,7.12,3.65,53.3,12240+63011J
9 6 25.226,63 12 16.72,0.014,77.6,79.4,0.156,0.9,0.73,53,5.47,5.45,53,09060+63011M
7 31 37.207,63 12 15.52,0.014,6.21,5.99,0.145,1.64,0,9.3,5.64,4.99,9.3,07300+63011J
8 39 42.428,63 12 14.48,0.473,1.09,1.17,0.141,4.23,0,134.8,6.86,4.58,134.8,08420+63011J
10 33 27.954,63 12 12.49,0.014,3.68,9.42,0.139,9.87,3.86,65,11.25,6.64,65,10360+63011J
11 29 52.641,63 12 12.29,0.072,1.84,1.12,0.179,0,0,11,4.53,3.9,11,11300+63011R
17 29 58.605,63 12 11.41,0.014,4.71,5.26,0.148,2.49,0.89,72,5.95,5.47,72,17300+63011J
10 59 32.348,63 12 11.26,0.016,1.56,2.67,0.153,5.94,3.02,159.8,8.02,6.19,159.8,11000+63011J
9 54 56.228,63 12 10.77,0.122,1.42,1.41,0.154,5.56,0,34,7.75,3.73,34,09540+63011J
14 25 2.992,63 12 10.5,0.014,22.44,40.05,0.151,7.09,2.22,89.6,8.91,5.84,89.6,14240+63011J
12 2 4.863,63 12 10.28,0.424,1.04,4.16,0.153,22.11,0,35.7,22.76,5.12,35.7,12000+63285J
8 48 44.031,63 12 10.23,0.014,2.14,9.85,0.175,14.14,7.04,100.8,15.14,8.87,100.8,08480+63011N
15 23 50.373,63 12 9.88,0.042,1.25,1.61,0.153,7.81,0,27.4,9.5,3.96,27.4,15240+63011J
9 45 20.144,63 12 9.44,0.014,12.84,16.75,0.138,4.02,1.66,165.2,6.73,5.65,165.2,09480+63011J
10 32 19.981,63 12 9.29,0.014,1.89,1.33,0.139,0,0,50.7,5.04,4.06,50.7,10300+63011J
10 42 54.559,63 12 8.46,0.014,1.99,3.24,0.153,5.4,3.07,108.3,7.64,6.21,108.3,10420+63011J
13 28 39.285,63 12 8.38,0.014,6.62,12.88,0.149,8.75,1.13,152.2,10.28,5.52,152.2,13300+63011N
